iterID,x1,x2,x3,x4,x5,x6,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.455238941047278,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.455238941047278,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.455238941047278,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.126679946931849,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.455238941047278,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.8701778718652964,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.455238941047278,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.8701778718652964,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.8701778718652964,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
